id,ServiceName,APIServiceName,Vendor,Exception,LastUpdateTimestamp,Status,ErrorDescription,logGroupName,DataScanned,cost,ErrorCount,ConsecutiveFailureCount,Escalation1Email,ThresholdTime1,Escalation2Email,ThresholdTime2,Escalation3Email,ThresholdTime3,Escalation4Email,ThresholdTime4,EscalationLevel,EscalationCount,DesiredCount,error_code,priority,LastEscalationDatetime,success_failure_updated_time
120,Credit_Card,RETAIL CIF AND ACCOUNT CREATION,,,16-04-2026 13:30,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:04,16-04-2026 11:32
121,Personal_Loan,ETBCASA service,,,16-04-2026 13:53,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:04,16-04-2026 01:42
122,Personal_Loan,PL ML Service,,,16-04-2026 13:53,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 20:45,16-04-2026 13:43
123,Personal_Loan,IFSC CODE VALIDATION,,,16-04-2026 13:52,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:04,
124,Personal_Loan,EPH IMPS,,,16-04-2026 13:52,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:04,16-04-2026 12:11
125,Personal_Loan,Name Match service,,,16-04-2026 13:52,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:22,06-03-2026 13:34
126,Personal_Loan,NESL service,,,16-04-2026 13:52,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:04,16-04-2026 04:30
127,Personal_Loan,CCFMCall,,,16-04-2026 13:48,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:04,04-04-2026 09:52
128,Personal_Loan,LoanAcctCreation,,,16-04-2026 13:48,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:04,16-04-2026 04:00
129,Personal_Loan,LoanDisbursement,,,16-04-2026 13:48,success,,,,,0,0,mail@.com,0,mail@.com,60,mail@.com,480,mail@.com,960,0,0,5,,non-critical,07-04-2025 13:04,27-01-2026 21:19
